City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Roald,NO,2021-05-29 22:12:59,62.5833,6.1333,59.16,87,5,3.44
136,Saskylakh,RU,2021-05-29 22:13:00,71.9167,114.0833,33.53,90,81,8.61
137,Kannur,IN,2021-05-29 22:13:00,11.8675,75.3576,77.85,87,100,1.43
138,Victoria,HK,2021-05-29 22:09:50,22.2855,114.1577,85.96,89,96,1.01
139,Bluff,NZ,2021-05-29 22:13:00,-46.6,168.3333,49.8,89,100,22.46
140,Brigantine,US,2021-05-29 22:13:01,39.4101,-74.3646,53.02,91,90,26.22
141,Karad,IN,2021-05-29 22:13:01,17.2833,74.2,76.59,81,100,2.91
142,Port Moresby,PG,2021-05-29 22:13:01,-9.4431,147.1797,75.74,78,96,8.5
143,Richards Bay,ZA,2021-05-29 22:13:02,-28.783,32.0377,63.7,86,10,4.79
144,Coquimbo,CL,2021-05-29 22:13:02,-29.9533,-71.3436,58.73,82,0,7.45
145,Namatanai,PG,2021-05-29 22:13:02,-3.6667,152.4333,81.09,80,97,6.49
146,Bardiyah,LY,2021-05-29 22:13:03,31.7561,25.0865,71.67,64,21,10.27
147,Bethel,US,2021-05-29 22:11:39,41.3712,-73.414,49.35,86,100,4.0
148,Launceston,AU,2021-05-29 22:13:03,-41.45,147.1667,32.14,97,20,2.44
149,Verkhoyansk,RU,2021-05-29 22:13:04,67.5447,133.385,49.75,50,76,10.27
150,Lincoln,US,2021-05-29 22:12:51,40.8,-96.667,67.33,60,1,1.99
151,Providencia,MX,2021-05-29 22:13:04,28.7167,-111.5833,99.86,38,10,11.99
152,Prunisor,RO,2021-05-29 22:13:04,44.6094,22.9153,54.36,72,97,7.72
153,Saint-Augustin,CA,2021-05-29 22:13:05,51.226,-58.6502,55.0,43,87,13.35
154,Sidi Ali,DZ,2021-05-29 22:13:05,36.0998,0.4206,66.78,64,38,4.83
155,Kruisfontein,ZA,2021-05-29 22:13:05,-34.0033,24.7314,52.88,89,49,11.1
156,Los Llanos De Aridane,ES,2021-05-29 22:13:06,28.6585,-17.9182,65.95,91,0,11.95
157,Chuy,UY,2021-05-29 22:13:06,-33.6971,-53.4616,48.51,60,29,12.48
158,Fukue,JP,2021-05-29 22:13:06,32.6881,128.8419,67.68,68,78,3.29
159,Norman Wells,CA,2021-05-29 22:13:07,65.282,-126.8329,38.48,77,100,7.72
160,Aswan,EG,2021-05-29 22:13:07,24.0934,32.907,89.73,22,98,18.45
161,Mabaruma,GY,2021-05-29 22:13:07,8.2,-59.7833,74.8,97,98,3.74
162,Cubara,CO,2021-05-29 22:13:08,7.0008,-72.1085,77.32,93,88,0.63
163,Tahta,EG,2021-05-29 22:13:08,26.7693,31.5021,83.84,25,26,5.91
164,Mahajanga,MG,2021-05-29 22:13:08,-15.7167,46.3167,73.42,83,20,0.0
165,Esperance,AU,2021-05-29 22:13:09,-33.8667,121.9,62.85,86,93,14.61
166,Georgetown,MY,2021-05-29 22:11:24,5.4112,100.3354,82.33,85,20,4.97
167,Kununurra,AU,2021-05-29 22:13:09,-15.7667,128.7333,55.38,82,100,3.44
168,Cantagalo,BR,2021-05-29 22:10:07,-21.9811,-42.3681,72.09,76,25,2.8
169,Cisarua,ID,2021-05-29 22:13:10,-6.6527,106.471,66.78,92,100,2.08
170,Poum,NC,2021-05-29 22:13:10,-20.2333,164.0167,71.47,58,68,17.52
171,Seoul,KR,2021-05-29 22:08:41,37.5683,126.9778,56.59,88,0,2.98
172,Shenjiamen,CN,2021-05-29 22:13:10,29.9576,122.298,67.48,94,100,9.91
173,Palmer,US,2021-05-29 22:13:11,42.1584,-72.3287,48.81,78,100,1.01
174,Nabire,ID,2021-05-29 22:13:11,-3.3667,135.4833,77.47,92,100,2.84
175,Marquette,US,2021-05-29 22:13:11,46.5333,-87.6335,67.77,46,4,5.32
176,Abu Dhabi,AE,2021-05-29 22:13:12,24.4667,54.3667,87.82,66,0,6.22
177,Vestmannaeyjar,IS,2021-05-29 22:13:12,63.4427,-20.2734,45.45,87,100,36.08
178,Yeppoon,AU,2021-05-29 22:13:12,-23.1333,150.7333,64.18,66,85,12.91
179,Sulangan,PH,2021-05-29 22:13:13,11.1373,123.7228,83.64,75,75,6.22
180,Road Town,VG,2021-05-29 22:09:48,18.4167,-64.6167,82.49,78,40,6.91
181,Vanimo,PG,2021-05-29 22:13:13,-2.6741,141.3028,79.2,88,100,3.71
182,Baykit,RU,2021-05-29 22:13:13,61.67,96.37,36.7,95,100,6.58
183,Bilma,NE,2021-05-29 22:13:14,18.6853,12.9164,91.17,8,37,6.38
184,Rocha,UY,2021-05-29 22:13:14,-34.4833,-54.3333,45.99,64,6,11.01
185,Tuktoyaktuk,CA,2021-05-29 22:13:14,69.4541,-133.0374,32.32,75,74,6.42
186,Cape Canaveral,US,2021-05-29 22:10:19,28.4058,-80.6048,91.65,70,1,18.41
187,Bonthe,SL,2021-05-29 22:13:15,7.5264,-12.505,81.79,82,10,6.17
188,Bolu,TR,2021-05-29 22:13:15,40.6667,31.5833,51.55,97,81,2.73
189,Arraial Do Cabo,BR,2021-05-29 22:10:30,-22.9661,-42.0278,75.09,83,74,13.62
190,Mangrol,IN,2021-05-29 22:09:09,21.1167,70.1167,82.47,81,94,11.14
191,Sargur,IN,2021-05-29 22:13:16,11.9833,76.4167,68.86,94,89,6.24
192,Ornskoldsvik,SE,2021-05-29 22:13:16,63.2909,18.7153,44.42,93,28,3.42
193,Alice Springs,AU,2021-05-29 22:12:21,-23.7,133.8833,36.95,75,4,5.53
194,Deputatskiy,RU,2021-05-29 22:13:17,69.3,139.9,47.95,47,27,19.64
195,Kaitangata,NZ,2021-05-29 22:13:17,-46.2817,169.8464,49.55,94,100,10.58
196,Ribas Do Rio Pardo,BR,2021-05-29 22:13:17,-20.4431,-53.7592,77.72,43,81,5.59
197,Anori,BR,2021-05-29 22:13:18,-3.7728,-61.6442,79.61,82,63,2.77
198,Bengkulu,ID,2021-05-29 22:13:18,-3.8004,102.2655,75.33,86,96,4.05
199,Dikson,RU,2021-05-29 22:13:18,73.5069,80.5464,16.59,98,48,4.9
200,East London,ZA,2021-05-29 22:13:19,-33.0153,27.9116,59.74,81,57,16.24
201,Provideniya,RU,2021-05-29 22:13:19,64.3833,-173.3,45.97,45,4,10.38
202,Tukrah,LY,2021-05-29 22:13:20,32.5341,20.5791,70.32,74,31,20.54
203,Krasnoarmeyskoye,RU,2021-05-29 22:13:20,52.7182,50.0322,61.34,93,93,3.62
204,Hamilton,US,2021-05-29 22:10:02,39.1834,-84.5333,58.59,74,90,1.01
205,Marsabit,KE,2021-05-29 22:13:21,2.3284,37.9899,66.65,63,58,22.39
206,Juneau,US,2021-05-29 22:13:21,58.3019,-134.4197,53.65,83,90,4.0
207,Manavalakurichi,IN,2021-05-29 22:13:21,8.1333,77.3,80.69,85,81,15.39
208,Mathbaria,BD,2021-05-29 22:13:22,22.2876,89.9593,81.79,85,9,5.79
209,Pangnirtung,CA,2021-05-29 22:13:22,66.1451,-65.7125,31.03,87,17,4.45
210,Donskoye,RU,2021-05-29 22:11:22,45.4552,41.9741,62.91,90,100,12.86
211,Ostrovnoy,RU,2021-05-29 22:13:22,68.0531,39.5131,35.02,80,100,14.67
212,Cedar City,US,2021-05-29 22:13:23,37.6775,-113.0619,81.39,10,1,8.05
213,Hithadhoo,MV,2021-05-29 22:13:23,-0.6,73.0833,83.48,72,34,18.7
214,Broome,US,2021-05-29 22:13:23,42.2506,-75.833,52.38,81,90,1.01
215,Saint-Michel-Des-Saints,CA,2021-05-29 22:13:24,46.6834,-73.9159,55.94,28,0,6.51
216,Beringovskiy,RU,2021-05-29 22:13:24,63.05,179.3167,33.37,81,7,10.51
217,Khakhea,BW,2021-05-29 22:13:24,-24.6895,23.494,52.5,40,5,6.55
218,Manthani,IN,2021-05-29 22:09:09,18.65,79.6667,90.73,46,27,8.43
219,Cherskiy,RU,2021-05-29 22:13:25,68.75,161.3,55.58,37,16,13.6
220,Ratchaburi,TH,2021-05-29 22:13:25,13.5833,99.5333,81.91,85,96,2.77
221,Maldonado,UY,2021-05-29 22:13:26,-34.6667,-54.9167,51.19,62,6,11.48
222,Bonnyville,CA,2021-05-29 22:09:53,54.2668,-110.735,61.27,50,53,11.92
223,Mount Gambier,AU,2021-05-29 22:08:50,-37.8333,140.7667,31.91,93,75,3.44
224,Turayf,SA,2021-05-29 22:13:26,31.6725,38.6637,72.05,35,0,8.79
225,Puracic,BA,2021-05-29 22:13:27,44.5469,18.4767,54.09,96,99,5.37
226,Haines Junction,CA,2021-05-29 22:13:27,60.7522,-137.5108,50.36,59,97,12.01
227,Belaya Gora,RU,2021-05-29 22:13:28,68.5333,146.4167,55.99,39,0,18.32
228,Constitucion,CL,2021-05-29 22:13:28,-35.3333,-72.4167,54.03,75,98,10.27
229,Amga,RU,2021-05-29 22:13:28,60.8953,131.9608,56.25,77,97,7.27
230,Salinas,US,2021-05-29 22:13:04,36.6777,-121.6555,80.47,69,90,13.8
231,Chernaya Kholunitsa,RU,2021-05-29 22:13:29,58.8511,51.7154,52.21,92,77,10.54
232,Zirandaro,MX,2021-05-29 22:13:29,18.45,-100.9833,106.99,20,13,3.18
233,Hongjiang,CN,2021-05-29 22:13:29,27.11,109.9956,64.36,98,89,2.55
