City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Stornoway,GB,58.2093,-6.3865,51.76,87,38,8.05,scattered clouds
259,Nachingwea,TZ,-10.3833,38.7667,67.86,82,99,1.23,overcast clouds
260,Nome,US,64.5011,-165.4064,57.16,52,73,12.35,broken clouds
261,Tazovskiy,RU,67.4667,78.7,37.36,67,95,16.96,overcast clouds
262,Saint Paul,US,44.9444,-93.0933,61.45,80,90,6.91,overcast clouds
263,Coachella,US,33.6803,-116.1739,91.67,29,0,5.01,clear sky
264,Mahebourg,MU,-20.4081,57.7,74.25,94,40,6.91,scattered clouds
265,Matamoros,MX,25.5333,-103.25,80.11,51,20,26.6,few clouds
266,Yerofey Pavlovich,RU,53.9667,121.9667,57.4,68,100,11.54,light rain
267,Pareora,NZ,-44.4871,171.2132,51.19,94,97,20.36,overcast clouds
268,Touros,BR,-5.1989,-35.4608,76.1,90,44,9.01,scattered clouds
269,Alta Floresta,BR,-9.8756,-56.0861,70.74,63,69,2.06,broken clouds
270,Pevek,RU,69.7008,170.3133,39.36,70,20,4.9,few clouds
271,Aranos,NA,-24.1333,19.1167,53.98,40,9,10.07,clear sky
272,Srednekolymsk,RU,67.45,153.6833,67.01,25,98,12.39,overcast clouds
273,Amahai,ID,-3.3333,128.9167,83.01,74,100,6.96,light rain
274,Aswan,EG,24.0934,32.907,87.84,12,97,9.78,overcast clouds
275,Gedo,ET,9.0167,37.45,53.74,52,46,3.31,scattered clouds
276,Buala,SB,-8.145,159.5921,83.73,75,40,6.46,light rain
277,San Isidro,PE,-12.1167,-77.05,64.26,92,90,8.7,overcast clouds
278,Flinders,AU,-34.5833,150.8552,67.17,57,0,3,clear sky
279,Mackay,AU,-21.15,149.2,74.68,73,6,19.57,clear sky
280,Tukrah,LY,32.5341,20.5791,67.39,81,0,7.34,clear sky
281,Boguchany,RU,58.3814,97.4531,53.04,53,75,0.89,broken clouds
282,Puerto Escondido,MX,15.85,-97.0667,83.23,79,97,1.61,overcast clouds
283,Guaraniacu,BR,-25.1008,-52.8781,50.52,88,83,1.48,broken clouds
284,Phalaborwa,ZA,-23.943,31.1411,61.88,69,63,7.2,broken clouds
285,Pangody,RU,65.85,74.4859,41.76,52,100,13.06,overcast clouds
286,Olafsvik,IS,64.8945,-23.7142,43.81,83,18,19.26,few clouds
287,Sur,OM,22.5667,59.5289,96.64,32,68,8.66,broken clouds
288,Maracaju,BR,-21.6144,-55.1683,64.78,95,100,8.14,overcast clouds
289,Dustlik,UZ,40.5247,68.0358,92.32,20,0,6.4,clear sky
290,Dwarka,IN,22.2394,68.9678,84.97,74,60,15.86,broken clouds
291,Den Helder,NL,52.9599,4.7593,52.02,94,20,11.5,few clouds
292,Sereflikochisar,TR,38.9393,33.5386,63.41,68,20,4.27,few clouds
293,Alofi,NU,-19.0595,-169.9187,82.29,83,67,6.91,light rain
294,Palmer,US,42.1584,-72.3287,48.38,87,90,1.01,overcast clouds
295,Samarai,PG,-10.6167,150.6667,80.08,79,94,17.81,overcast clouds
296,Esperance,AU,-33.8667,121.9,60.64,77,96,25.97,overcast clouds
297,Coihaique,CL,-45.5752,-72.0662,44.55,81,20,3.44,few clouds
298,Gambela,ET,8.25,34.5833,74.07,68,8,3.56,clear sky
299,Ossora,RU,59.2353,163.0719,42.73,68,30,8.61,scattered clouds
300,Petauke,ZM,-14.2426,31.3253,53.42,59,1,3.56,clear sky
301,Andrews,US,32.3187,-102.5457,72.05,70,75,9.22,broken clouds
302,Jaciara,BR,-15.9653,-54.9683,69.93,53,100,0.81,overcast clouds
303,Tilichiki,RU,60.4667,166.1,46.15,62,59,5.44,broken clouds
304,Isangel,VU,-19.55,169.2667,75.31,73,75,7.74,broken clouds
305,Sauk Rapids,US,45.5919,-94.1661,61.36,83,28,8.05,scattered clouds
306,Ahuimanu,US,21.4447,-157.8378,83.34,63,40,5.75,scattered clouds
307,Vao,NC,-22.6667,167.4833,70.11,57,71,16.78,broken clouds
308,Severo-Kurilsk,RU,50.6789,156.125,38.32,98,100,25.5,moderate rain
309,Aden,YE,12.7794,45.0367,87.22,67,0,6.38,clear sky
310,Strathmore,CA,51.0501,-113.3852,67.6,32,63,13.8,broken clouds
311,Chicama,PE,-7.8447,-79.1469,67.23,86,100,5.84,overcast clouds
312,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.65,96,80,7.96,broken clouds
313,Zhigansk,RU,66.7697,123.3711,57.96,37,1,8.14,clear sky
314,Natal,BR,-5.795,-35.2094,77.22,88,20,7.09,few clouds
315,Demmin,DE,53.9076,13.0314,45.93,81,0,2.51,clear sky
316,Bambous Virieux,MU,-20.3428,57.7575,75.22,94,40,11.27,scattered clouds
317,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.24,84,9,1.81,clear sky
318,Lerwick,GB,60.1545,-1.1494,44.6,94,78,13.06,broken clouds
319,Tiznit,MA,29.5833,-9.5,64.94,76,100,2.89,overcast clouds
320,Kristiansund,NO,63.1115,7.732,48.85,87,90,2.3,overcast clouds
321,Kieta,PG,-6.2167,155.6333,84.74,74,74,4.56,light rain
322,Labrea,BR,-7.2586,-64.7981,74.98,79,100,1.95,overcast clouds
323,Nara,JP,34.6851,135.8049,84.49,23,0,4.65,clear sky
324,Huntsville,US,34.7304,-86.5861,62.4,79,1,1.99,clear sky
325,Kviteseid,NO,59.4022,8.4927,61.2,62,14,4.56,few clouds
326,Bandarbeyla,SO,9.4942,50.8122,80.02,76,75,23.96,broken clouds
327,Tiksi,RU,71.6872,128.8694,37.74,81,96,7.96,overcast clouds
328,Jerantut,MY,3.936,102.3626,91.33,56,70,2.04,broken clouds
329,Gizo,SB,-8.103,156.8419,82.69,77,81,6.85,light rain
330,College,US,64.8569,-147.8028,68.32,40,1,8.05,clear sky
331,Kathmandu,NP,27.7167,85.3167,75.42,78,75,4.61,broken clouds
332,Kungurtug,RU,50.5994,97.5228,40.64,66,100,4.54,overcast clouds
333,Dingle,PH,10.9995,122.6711,90.41,59,39,4.23,light rain
334,Saint-Pierre,RE,-21.3393,55.4781,71.28,51,0,6.91,clear sky
335,Myrtle Beach,US,33.6891,-78.8867,60.1,88,90,1.01,overcast clouds
336,Bud,US,39.447,-86.1758,57.97,76,73,5.55,broken clouds
337,Zabaykalsk,RU,49.6333,117.3167,44.55,90,100,10.6,light rain
338,Colares,PT,38.7992,-9.4469,61.32,78,0,4,clear sky
339,Plastun,RU,44.7561,136.2939,44.4,94,100,1.86,overcast clouds
340,Muzhi,RU,65.3667,64.6667,42.66,50,9,18.14,clear sky
341,Tyube,RU,43.0493,47.3074,73.26,63,11,5.32,few clouds
342,Vestmannaeyjar,IS,63.4427,-20.2734,45.1,85,52,20.29,broken clouds
343,Natalio,PY,-26.7167,-55.0833,43.72,65,0,2.26,light rain
344,Thompson,CA,55.7435,-97.8558,48.36,71,40,0,scattered clouds
345,Narsaq,GL,60.9167,-46.05,40.98,64,53,3.31,broken clouds
346,Soltvadkert,HU,46.5789,19.3939,52.83,91,100,6.29,light rain
347,Koson,UZ,39.0375,65.585,86.32,16,0,4.21,clear sky
