City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,San Patricio,US,80.47,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
197,Hasaki,JP,78.19,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
198,Rosamorada,MX,75.51,clear sky,22.1222,-105.2058,Hotel Gonzalez
200,Hithadhoo,MV,84.04,clear sky,-0.6,73.0833,Scoop Guest House
208,Pringsewu,ID,88.54,few clouds,-5.3582,104.9744,Urban Style by Front One
210,Jibuti,DJ,81.82,clear sky,11.5,42.5,Orchid Main Camp Goubet
211,Tutoia,BR,77.68,few clouds,-2.7619,-42.2744,Pousada Guará's
218,Kavieng,PG,83.08,moderate rain,-2.5744,150.7967,Nusa Island Retreat
220,Aborlan,PH,89.67,overcast clouds,9.4352,118.5492,Kevina Transient House
222,Yuxia,CN,86.61,few clouds,34.0615,108.6291,Shanchengxuan Hotel
229,Soe,ID,78.19,overcast clouds,-9.8607,124.284,Dena Hotel
230,Namatanai,PG,83.52,moderate rain,-3.6667,152.4333,Namatanai Hotel
232,Georgiyevka,KZ,77.04,clear sky,43.0369,74.7114,Gostinitsa Imperiya
235,Saint George,US,86.59,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
238,Manokwari,ID,84.0,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
239,Chabahar,IR,89.02,clear sky,25.2919,60.643,هتل گدروشیا
240,Omboue,GA,75.54,overcast clouds,-1.5746,9.2618,Hotel Olako
244,Kavaratti,IN,82.98,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
246,Namie,JP,77.72,clear sky,37.4833,141.0,いこいの村なみえ
252,Tianpeng,CN,84.63,broken clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
253,Fuerte,PH,88.7,broken clouds,17.5381,120.3644,Giordion Inn
255,Bubaque,GW,77.14,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
265,Matamoros,MX,80.11,few clouds,25.5333,-103.25,Quinta Belem
268,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
273,Amahai,ID,83.01,light rain,-3.3333,128.9167,HOTEL ISABELA
274,Aswan,EG,87.84,overcast clouds,24.0934,32.907,Nuba Nile
276,Buala,SB,83.73,light rain,-8.145,159.5921,Maringe Lagoon Lodge
282,Puerto Escondido,MX,83.23,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
290,Dwarka,IN,84.97,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
293,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
295,Samarai,PG,80.08,overcast clouds,-10.6167,150.6667,Nuli Sapi
304,Isangel,VU,75.31,broken clouds,-19.55,169.2667,Tanna Lodge
306,Ahuimanu,US,83.34,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
309,Aden,YE,87.22,clear sky,12.7794,45.0367,Sama Emirate Hotel
314,Natal,BR,77.22,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
316,Bambous Virieux,MU,75.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
321,Kieta,PG,84.74,light rain,-6.2167,155.6333,Uruna Bay Retreat
323,Nara,JP,84.49,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
326,Bandarbeyla,SO,80.02,broken clouds,9.4942,50.8122,JABIR HOTEL
329,Gizo,SB,82.69,light rain,-8.103,156.8419,Imagination Island
331,Kathmandu,NP,75.42,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
353,Basco,PH,84.54,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
356,Coahuayana,MX,77.52,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
359,Ponnani,IN,87.12,broken clouds,10.767,75.9252,Rouba Residency
